stage,source path,record/line reference,observed clue,inference,next action,result
1_evidence,START_HERE.txt,Line 5,Starting instructions say to check handover notes and find the transfer right before maintenance.,We need to find the maintenance start time and the last successful transfer before it.,Check Logs/inventory.log to see what the archive contains before opening individual records.,Found the starting point
1_evidence,Logs/inventory.log,Lines 1-3,"Inventory lists three copied groups: ordinary documents, message exports, and archive payloads.","The archive is split into Documents, Messages and Archive records, so a lead in one folder can point to a record in another.",Open Documents/meeting_notes.txt to check for procedure notes.,Made an inventory of the supplied record types.
1_evidence,Documents/meeting_notes.txt,Line 1,Meeting notes say to verify backups and preserve internal record timestamps; the catering note is unrelated.,"Timestamps written inside records are the evidence to use, not file modification times.",Open Backups/readme_old.txt to check the backup material.,Confirmed internal timestamps are authoritative.
1_evidence,Backups/readme_old.txt,Line 1,Old readme says it is a superseded checklist and to follow dated registers and current communication conventions.,This backup has no procedure of its own; dated registers and the conventions file decide each step.,Open Documents/handover_note.txt,Rejected readme_old.txt as a source of procedure.
1_evidence,Documents/handover_note.txt,Line 2,"Handover note from Inez Ward tells us to use the last successful transfer before maintenance on 2026-04-11, and that the cipher is alphabet-replacement.",We need the exact maintenance start time to establish our cutoff point.,Open Logs/maintenance.log to get the maintenance start time.,Found target criteria: last successful transfer before maintenance.
1_evidence,Logs/maintenance.log,Line 2,"Log records scheduled system maintenance starting at 22:00:00 on April 11, 2026.",Any valid transfer must have occurred before the 22:00:00 cutoff on April 11.,Open Logs/transfers.csv to find the last successful transfer before 22:00:00.,Established cutoff timestamp (2026-04-11 22:00:00).
1_evidence,Logs/transfers.csv,Line 3,Transfer TX-814D succeeded at 21:43 with reference MSG-88D4FA (TX-LATE at 22:04 was after maintenance and failed).,TX-814D is the relevant transfer and its message reference is MSG-88D4FA.,Check the other transfer rows TX-OLD and TX-LATE before accepting TX-814D.,Identified target message reference MSG-88D4FA.
1_evidence,Logs/transfers.csv,Line 2,"Transfer TX-OLD also succeeded, but at 20:10, earlier than TX-814D, with reference MSG-ARCHIVE.","TX-OLD is not the last successful transfer before 22:00, so it does not match the handover rule.",Check what MSG-ARCHIVE points to in Messages/message_index.csv.,Rejected TX-OLD as the target transfer.
1_evidence,Messages/message_index.csv,Line 3,"Message index maps MSG-ARCHIVE to Messages/old_notice.txt, created 2026-03-02.","MSG-ARCHIVE is an older record from March, not the recovery message.",Open Messages/old_notice.txt to confirm.,Located the file for MSG-ARCHIVE.
1_evidence,Messages/old_notice.txt,Line 1,Inspected old_notice.txt; it states it is a routine archive notice and no recovery payload is attached.,"TX-OLD carried no recovery material, which confirms it is not part of the recovery chain.",Check the TX-LATE row in Logs/transfers.csv.,Documented rejected alternative TX-OLD.
